epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.271,1.72679,3.43723,0.97125,0.30735,0.06453,0.02811,0.01657,0.24171,43.6067,0.15762,0.00333246,0.00333246,0.00333246
2,755.875,1.82288,2.49543,0.96325,0.30978,0.0796,0.0253,0.01386,0.2624,88.0931,0.16075,0.00653381,0.00653381,0.00653381
3,1104.3,2.01804,2.77542,1.0132,0.33806,0.02924,0.01904,0.01015,0.30624,13.4596,0.17139,0.00960317,0.00960317,0.00960317
4,1456.8,2.04613,2.77285,1.02951,0.03783,0.17137,0.03194,0.01716,0.27138,8.2712,0.16484,0.009406,0.009406,0.009406
5,1810.67,1.94032,2.4769,1.00832,0.03369,0.11376,0.02355,0.01389,0.26335,13.3685,0.16319,0.009208,0.009208,0.009208
6,2162.97,1.8698,2.32865,0.98674,0.01752,0.25013,0.02026,0.01236,0.25096,15.1295,0.16132,0.00901,0.00901,0.00901
7,2518.27,1.80694,2.15335,0.97228,0.31416,0.03811,0.02594,0.01623,0.24498,25.5211,0.15975,0.008812,0.008812,0.008812
8,2869.85,1.76713,2.0839,0.96594,0.31395,0.04065,0.02768,0.01731,0.24172,21.6418,0.15871,0.008614,0.008614,0.008614
9,3222.19,1.73,1.98078,0.95896,0.33059,0.04762,0.03205,0.01995,0.23318,21.9793,0.15654,0.008416,0.008416,0.008416
10,3575.29,1.70678,1.96089,0.95048,0.0614,0.05124,0.02302,0.01412,0.23035,57.7301,0.15715,0.008218,0.008218,0.008218
11,3927.53,1.70247,1.85309,0.94652,0.12924,0.0587,0.02779,0.01728,0.22735,52.72,0.15569,0.00802,0.00802,0.00802
12,4280.92,1.66751,1.80411,0.94261,0.09263,0.05819,0.0245,0.01618,0.22193,56.4558,0.15467,0.007822,0.007822,0.007822
13,4632.98,1.65408,1.74279,0.93952,0.06175,0.05324,0.02051,0.01302,0.21965,62.6695,0.15513,0.007624,0.007624,0.007624
14,4985.04,1.62031,1.71208,0.9307,0.0564,0.05031,0.0223,0.01458,0.21902,56.4213,0.1539,0.007426,0.007426,0.007426
15,5341.59,1.63705,1.70804,0.93218,0.04637,0.06198,0.02203,0.01446,0.21649,90.9362,0.15317,0.007228,0.007228,0.007228
16,5693.64,1.61171,1.6509,0.93322,0.0837,0.06907,0.02345,0.01478,0.21443,101.784,0.15308,0.00703,0.00703,0.00703
17,6045.64,1.60385,1.61587,0.92505,0.07136,0.07612,0.02609,0.01686,0.21303,90.7704,0.15295,0.006832,0.006832,0.006832
18,6398.66,1.58854,1.58923,0.92567,0.06492,0.07661,0.02443,0.01599,0.20993,114.944,0.15218,0.006634,0.006634,0.006634
19,6752.01,1.576,1.58619,0.9223,0.06484,0.07911,0.02332,0.01544,0.20885,128.728,0.15194,0.006436,0.006436,0.006436
20,7104.49,1.56646,1.56441,0.91423,0.08077,0.07592,0.02587,0.01702,0.20776,116.605,0.15166,0.006238,0.006238,0.006238
21,7454.83,1.54898,1.51469,0.91868,0.06314,0.08784,0.0249,0.01587,0.20578,141.08,0.15131,0.00604,0.00604,0.00604
22,7806.45,1.53355,1.49767,0.91227,0.05969,0.09973,0.02454,0.01557,0.20433,171.913,0.15083,0.005842,0.005842,0.005842
23,8158,1.52162,1.46838,0.91237,0.0674,0.10347,0.02862,0.01893,0.20436,177.967,0.15088,0.005644,0.005644,0.005644
24,8509.43,1.51288,1.45598,0.90807,0.06838,0.10447,0.02842,0.01855,0.204,190.516,0.15078,0.005446,0.005446,0.005446
25,8860.2,1.51038,1.45153,0.90963,0.07442,0.10812,0.03001,0.01959,0.20297,184.306,0.15064,0.005248,0.005248,0.005248
26,9210.37,1.5017,1.42584,0.90562,0.07558,0.1123,0.03038,0.01979,0.20222,186.688,0.15034,0.00505,0.00505,0.00505
27,9561.61,1.4985,1.40257,0.90432,0.0764,0.11073,0.03098,0.02011,0.20138,182.667,0.15016,0.004852,0.004852,0.004852
28,9913.61,1.46997,1.37627,0.90003,0.07607,0.11319,0.03187,0.02056,0.20108,187.014,0.15022,0.004654,0.004654,0.004654
29,10264.7,1.48466,1.39205,0.90126,0.07804,0.11826,0.03239,0.02093,0.20031,189.114,0.15005,0.004456,0.004456,0.004456
30,10616,1.47012,1.36629,0.89425,0.08021,0.11912,0.03271,0.02102,0.19962,196.238,0.1499,0.004258,0.004258,0.004258
31,10967.5,1.4673,1.34703,0.89788,0.08153,0.12027,0.0327,0.02096,0.19922,202.635,0.14974,0.00406,0.00406,0.00406
32,11319.5,1.45215,1.34544,0.89368,0.08267,0.12129,0.03273,0.02103,0.19899,208.554,0.1497,0.003862,0.003862,0.003862
33,11672.6,1.45115,1.34316,0.89534,0.08323,0.12224,0.0328,0.02113,0.19844,214.825,0.14952,0.003664,0.003664,0.003664
34,12023.1,1.4376,1.30829,0.89132,0.08901,0.1135,0.03351,0.02172,0.19797,220.478,0.14941,0.003466,0.003466,0.003466
35,12375.3,1.43786,1.29825,0.89343,0.09036,0.11366,0.0332,0.02145,0.19753,226.988,0.14927,0.003268,0.003268,0.003268
36,12770.2,1.4181,1.28499,0.88993,0.08955,0.1192,0.03382,0.02179,0.1973,231.006,0.14924,0.00307,0.00307,0.00307
37,13144.2,1.41555,1.2741,0.88613,0.08701,0.1214,0.03438,0.02217,0.19715,235.086,0.14922,0.002872,0.002872,0.002872
38,13502.2,1.4062,1.25476,0.88518,0.08792,0.12635,0.03481,0.02246,0.19694,237.408,0.14919,0.002674,0.002674,0.002674
39,13855.9,1.39282,1.25293,0.88042,0.08894,0.12709,0.03521,0.02264,0.19662,240.144,0.14915,0.002476,0.002476,0.002476
40,14210,1.39275,1.23782,0.88119,0.08854,0.12658,0.03558,0.02285,0.19664,243.435,0.14924,0.002278,0.002278,0.002278
41,14616.6,1.18441,1.10216,0.73537,0.08975,0.1284,0.03574,0.02289,0.19649,243.413,0.14918,0.00208,0.00208,0.00208
42,14984.7,1.1765,1.0171,0.73935,0.09053,0.13326,0.03622,0.02319,0.19622,243.374,0.14909,0.001882,0.001882,0.001882
43,15319,1.18654,1.03806,0.7454,0.0914,0.13456,0.03686,0.02362,0.19613,244.652,0.14904,0.001684,0.001684,0.001684
44,15663,1.16834,0.99699,0.73807,0.09354,0.13453,0.03754,0.02405,0.19599,246.633,0.14901,0.001486,0.001486,0.001486
45,16001.6,1.16074,0.97984,0.73614,0.09565,0.13569,0.03821,0.02449,0.19582,247.868,0.14895,0.001288,0.001288,0.001288
46,16344,1.14396,0.94848,0.72951,0.09648,0.13675,0.03865,0.02484,0.19562,248.271,0.14886,0.00109,0.00109,0.00109
47,16688.6,1.13613,0.93866,0.72887,0.09467,0.13914,0.03932,0.02528,0.19544,250.393,0.14878,0.000892,0.000892,0.000892
48,17037.3,1.14931,0.9405,0.73473,0.09661,0.14307,0.04006,0.02578,0.19531,251.858,0.14873,0.000694,0.000694,0.000694
49,17385.8,1.11521,0.90396,0.72551,0.09835,0.14182,0.04088,0.02627,0.19519,254.04,0.14868,0.000496,0.000496,0.000496
50,17728.9,1.12369,0.90797,0.72816,0.10081,0.1445,0.04129,0.02643,0.19512,256.039,0.14863,0.000298,0.000298,0.000298
