epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,574.814,1.40539,2.18579,0.97562,0.05446,0.05057,0.01862,0.01158,0.23653,111.277,0.17927,0.000237876,0.000237876,0.000237876
2,1143.97,1.41293,1.60006,0.96881,0.07376,0.11389,0.03531,0.02221,0.23207,325.863,0.1778,0.00045232,0.00045232,0.00045232
3,1705.04,1.40498,1.52068,0.96446,0.05636,0.1276,0.03167,0.01953,0.22687,411.071,0.17713,0.000643202,0.000643202,0.000643202
4,2297.84,1.36465,1.43992,0.95575,0.09203,0.13517,0.04228,0.02665,0.21924,378.643,0.1738,0.000607971,0.000607971,0.000607971
5,2927.6,1.32964,1.34379,0.94734,0.08634,0.08523,0.02708,0.01783,0.223,408.643,0.17421,0.000572628,0.000572628,0.000572628
6,3496.44,1.30807,1.28357,0.93959,0.11106,0.14049,0.05012,0.03389,0.20902,400.772,0.17119,0.000537285,0.000537285,0.000537285
7,4049.78,1.28955,1.21318,0.93202,0.09394,0.12617,0.03848,0.02579,0.20795,495.624,0.17133,0.000501942,0.000501942,0.000501942
8,6341.77,1.26388,1.16166,0.9291,0.14103,0.14055,0.0655,0.04224,0.20353,261.132,0.17021,0.000466599,0.000466599,0.000466599
9,6900.82,1.24071,1.1279,0.92087,0.11999,0.15812,0.05805,0.03718,0.20008,506.279,0.16951,0.000431256,0.000431256,0.000431256
10,7498.49,1.23097,1.08118,0.91372,0.12982,0.17655,0.05834,0.03911,0.19779,637.638,0.16915,0.000395913,0.000395913,0.000395913
11,8142.04,1.19858,1.40887,0.89344,0.11685,0.13474,0.0461,0.03061,0.20279,562.574,0.16935,0.00036057,0.00036057,0.00036057
12,8761.28,1.19776,1.14299,0.89533,0.17177,0.15968,0.07889,0.05308,0.19792,344.767,0.16889,0.000325227,0.000325227,0.000325227
13,9316.62,1.1827,1.06732,0.88848,0.11257,0.14412,0.04766,0.03229,0.19756,734.619,0.16852,0.000289884,0.000289884,0.000289884
